"elev_kon";"dist_01";"dist_02";"dist_03";"dist_04";"imp_05";"imp_06";"imp_07";"imp_08";"imp_09";"imp_10";"imp_11";"imp_12";"imp_13";"moto_14";"moto_15";"moto_16";"moto_17";"moto_18";"moto_19";"moto_20";"rikt_21";"rikt_22";"rikt_23";"rikt_24";"rikt_25";"uppr_26";"uppr_27";"uppr_28";"uppr_29";"uppr_30";"uppr_31";"skif_32";"skif_33";"skif_34";"skif_35";"efig_36";"efig_37";"efig_38";"efig_39";"efig_40";"efig_sum";"efpl_41";"efpl_42";"efpl_43";"efpl_44";"efutf_45";"efutf_46";"efutf_47";"efutf_48";"efutf_49";"efutf_50";"efutf_51";"efutf_52";"efutv_53";"efutv_54";"efutv_55";"vitsord_ma";"vitsord_mo";"utb_pabygg_mamma";"utb_pabygg_pappa";"medievanor1";"medievanor2";"medievanor3";"hur_ofta_lasbarn1";"hur_ofta_lasbarn2";"hur_ofta_lasbarn3";"hur_ofta_lasbarn4";"hur_ofta_lasbarn5";"hur_ofta_lasbarn6";"hur_ofta_lasbarn7";"hur_garna_lasbarn1";"hur_garna_lasbarn2";"hur_garna_lasbarn3";"hur_garna_lasbarn4";"hur_garna_lasbarn5";"hur_garna_lasbarn6";"hur_garna_lasbarn7"
"Pojke";1;2;1;0;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;1;1;0;1;1;1;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;7;7;"forskarutbildning";"lägsta högre nivå";"1h";"2h";"2h";"varje dag";"1-2 ggr/vecka";"flera gånger i veckan";"varje dag";"aldrig eller sällan";"ibland eller några ggr/mån";"flera gånger per dag";"6";"5";"5";"5";"2";"4";"5"
"Pojke";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;8;7;"lägre högskoleexamen";"lägre högskoleexamen";"< 1h";"< 1h";"< 1h";"flera gånger i veckan";"aldrig eller sällan";"aldrig eller sällan";"aldrig eller sällan";"aldrig eller sällan";"aldrig eller sällan";"aldrig eller sällan";"6";"kan inte/har inte möjlighet att läsa";"4";"kan inte/har inte möjlighet att läsa";"mycket ogärna";"mycket ogärna";"mycket ogärna"
"Pojke";0;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;9;9;"högre högskoleexamen";"högre högskoleexamen";"< 1h";"< 1h";"2h";"varje dag";"aldrig eller sällan";"1-2 ggr/vecka";"aldrig eller sällan";"aldrig eller sällan";"aldrig eller sällan";"ibland eller några ggr/mån";"6";"kan inte/har inte möjlighet att läsa";"4";"kan inte/har inte möjlighet att läsa";"kan inte/har inte möjlighet att läsa";"kan inte/har inte möjlighet att läsa";"4"
"Flicka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;8;"lägsta högre nivå";"lägre högskoleexamen";"< 1h";"< 1h";"1h";"flera gånger i veckan";"ibland eller några ggr/mån";"flera gånger i veckan";"aldrig eller sällan";"ibland eller några ggr/mån";"aldrig eller sällan";"aldrig eller sällan";"mycket gärna";"kan inte/har inte möjlighet att läsa";"mycket gärna";"4";"4";"3";"3"
"Flicka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;"lägre högskoleexamen";"mellanstadie";"2h";"1h";"1h";"1-2 ggr/vecka";"flera gånger i veckan";"flera gånger i veckan";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"1-2 ggr/vecka";"mycket gärna";"mycket gärna";"mycket gärna";"5";"mycket gärna";"6";"mycket gärna"
"Flicka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;9;"högre högskoleexamen";"lägre högskoleexamen";"1h";"1h";"2h";"flera gånger i veckan";"flera gånger i veckan";"varje dag";"ibland eller några ggr/mån";"aldrig eller sällan";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"6";"6";"mycket gärna";"mycket gärna";"3";"4";"mycket gärna"
"Pojke";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;"högre högskoleexamen";"lägre högskoleexamen";"< 1h";"4h";"4h";"ibland eller några ggr/mån";"flera gånger i veckan";"ibland eller några ggr/mån";"aldrig eller sällan";"flera gånger i veckan";"ibland eller några ggr/mån";"flera gånger per dag";"4";"4";"4";"3";"6";"3";"mycket gärna"
"Flicka";0;1;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;9;8;"ingen påbyggnadsexamen";"lägre högskoleexamen";"< 1h";"< 1h";"inte alls";"flera gånger i veckan";"flera gånger i veckan";"aldrig eller sällan";"ibland eller några ggr/mån";"ibland eller några ggr/mån";"1-2 ggr/vecka";"ibland eller några ggr/mån";"4";"4";"3";"3";"3";"3";"3"
"Flicka";0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;8;8;"högre högskoleexamen";"mellanstadie";"< 1h";"< 1h";"< 1h";"flera gånger i veckan";"1-2 ggr/vecka";"ibland eller några ggr/mån";"aldrig eller sällan";"1-2 ggr/vecka";"ibland eller några ggr/mån";"aldrig eller sällan";"5";"6";"5";"3";"mycket gärna";"3";"2"
"Flicka";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;9;"högre högskoleexamen";"forskarutbildning";"1h";"1h";"< 1h";"ibland eller några ggr/mån";"1-2 ggr/vecka";"varje dag";"flera gånger i veckan";"aldrig eller sällan";"1-2 ggr/vecka";"ibland eller några ggr/mån";"4";"4";"mycket gärna";"mycket gärna";"kan inte/har inte möjlighet att läsa";"mycket gärna";"mycket gärna"
